Nfact;FechaVenta;FechaPago;PrecioVenta;CostoVenta;Margen;ProdId;Sucursal;IdCliente
1800;2016-07-27 00:00:00,000;2016-09-29 00:00:00,000;28869148;30929926;-2060778;1541;"C01";4885
1815;2016-08-07 00:00:00,000;2016-11-08 00:00:00,000;41655981;33493114;8162867;1534;"C01";4829
1821;2016-08-15 00:00:00,000;2016-10-08 00:00:00,000;94299698;30826161;63473537;1555;"C01";4813
1828;2016-08-23 00:00:00,000;2016-09-29 00:00:00,000;47022693;31960772;15061921;1523;"C01";4885
1829;2016-08-26 00:00:00,000;2016-08-30 00:00:00,000;64101939;29779423;34322516;1524;"C01";4873
1836;2016-09-02 00:00:00,000;2016-10-22 00:00:00,000;49937286;33544527;16392759;1533;"C01";4834
1842;2016-09-09 00:00:00,000;2016-10-08 00:00:00,000;40840973;34347677;6493296;1532;"C01";4829
1843;2016-09-11 00:00:00,000;2016-11-04 00:00:00,000;43495230;29410295;14084935;1537;"C01";4857
1849;2016-09-22 00:00:00,000;2016-10-29 00:00:00,000;65459622;37718661;27740961;1550;"C01";4835
1870;2016-10-18 00:00:00,000;2016-11-12 00:00:00,000;81376405;34978105;46398300;1551;"C01";4887
1883;2016-11-01 00:00:00,000;2016-12-24 00:00:00,000;36579740;28764214;7815526;1553;"C01";4885
1891;2016-11-13 00:00:00,000;2017-01-07 00:00:00,000;41869992;37718661;4151331;1550;"C01";4813
1893;2016-11-17 00:00:00,000;2017-02-13 00:00:00,000;83408092;44980798;38427294;1540;"C01";4826
1894;2016-11-20 00:00:00,000;2017-02-22 00:00:00,000;478033;35676075;-35198042;1538;"C01";4820
1896;2016-11-27 00:00:00,000;2016-12-19 00:00:00,000;80530659;44980798;35549861;1540;"C01";4922
1907;2016-12-14 00:00:00,000;2017-02-11 00:00:00,000;43590304;37266935;6323369;1542;"C01";4918
1912;2016-12-17 00:00:00,000;2017-01-13 00:00:00,000;11755293;27563117;-15807824;1544;"C01";4916
1913;2016-12-21 00:00:00,000;2017-03-14 00:00:00,000;82676222;33846226;48829996;1525;"C01";4821
1916;2016-12-24 00:00:00,000;2017-03-16 00:00:00,000;90772997;28454772;62318225;1546;"C01";4823
1921;2017-01-01 00:00:00,000;2017-03-05 00:00:00,000;45933937;29410295;16523642;1537;"C01";4825
1924;2017-01-04 00:00:00,000;2017-02-26 00:00:00,000;97948867;37266935;60681932;1542;"C01";4801
1926;2017-01-05 00:00:00,000;2017-01-19 00:00:00,000;47646774;34978105;12668669;1551;"C01";4856
1939;2017-01-17 00:00:00,000;2017-02-12 00:00:00,000;34745350;33341159;1404191;1535;"C01";4822
1964;2017-02-09 00:00:00,000;2017-03-20 00:00:00,000;6589455;35435914;-28846459;1539;"C01";4818
1973;2017-02-20 00:00:00,000;2017-03-19 00:00:00,000;80589945;33774964;46814981;1554;"C01";4875
1984;2017-03-05 00:00:00,000;2017-04-12 00:00:00,000;58520665;31243926;27276739;1549;"C01";4831
1988;2017-03-11 00:00:00,000;2017-04-15 00:00:00,000;56538707;29779423;26759284;1524;"C01";4830
1993;2017-03-15 00:00:00,000;2017-05-26 00:00:00,000;54950898;29839505;25111393;1522;"C01";4829
2001;2017-03-22 00:00:00,000;2017-04-01 00:00:00,000;49408495;35422391;13986104;1545;"C01";4872
2005;2017-03-24 00:00:00,000;2017-06-25 00:00:00,000;20220221;37266935;-17046714;1542;"C01";4862
2007;2017-03-25 00:00:00,000;2017-05-09 00:00:00,000;96501618;31243926;65257692;1549;"C01";4811
2018;2017-04-11 00:00:00,000;2017-06-10 00:00:00,000;88066652;34347677;53718975;1532;"C01";4919
2032;2017-05-01 00:00:00,000;2017-07-28 00:00:00,000;58397151;35435914;22961237;1539;"C01";4842
2033;2017-05-01 00:00:00,000;2017-05-25 00:00:00,000;1789842;33341159;-31551317;1535;"C01";4909
2049;2017-05-19 00:00:00,000;2017-06-30 00:00:00,000;52076654;33493114;18583540;1534;"C01";4921
2052;2017-05-21 00:00:00,000;2017-05-25 00:00:00,000;40085496;33341159;6744337;1535;"C01";4852
2055;2017-05-23 00:00:00,000;2017-07-04 00:00:00,000;96963080;39637083;57325997;1528;"C01";4838
2068;2017-05-29 00:00:00,000;2017-08-29 00:00:00,000;46852825;30339947;16512878;1527;"C01";4813
2075;2017-06-02 00:00:00,000;2017-06-17 00:00:00,000;72797121;39637083;33160038;1528;"C01";4885
2088;2017-06-12 00:00:00,000;2017-09-01 00:00:00,000;42941993;31960772;10981221;1523;"C01";4814
2102;2017-06-24 00:00:00,000;2017-07-14 00:00:00,000;86576115;44980798;41595317;1540;"C01";4915
2131;2017-07-27 00:00:00,000;2017-09-07 00:00:00,000;42642605;27800003;14842602;1552;"C01";4826
2132;2017-07-27 00:00:00,000;2017-08-16 00:00:00,000;34506901;35422391;-915490;1545;"C01";4830
2133;2017-07-28 00:00:00,000;2017-09-10 00:00:00,000;26195467;30826161;-4630694;1555;"C01";4832
2140;2017-08-01 00:00:00,000;2017-10-09 00:00:00,000;57662405;31015566;26646839;1530;"C01";4902
2145;2017-08-05 00:00:00,000;2017-08-21 00:00:00,000;24134648;30826161;-6691513;1555;"C01";4875
2150;2017-08-09 00:00:00,000;2017-10-19 00:00:00,000;26416980;33846226;-7429246;1525;"C01";4903
2155;2017-08-14 00:00:00,000;2017-10-10 00:00:00,000;7165725;30580490;-23414765;1536;"C01";4835
2157;2017-08-19 00:00:00,000;2017-10-21 00:00:00,000;68450649;33774964;34675685;1554;"C01";4813
2159;2017-08-20 00:00:00,000;2017-10-26 00:00:00,000;40726972;33846226;6880746;1525;"C01";4849
2165;2017-08-26 00:00:00,000;2017-11-11 00:00:00,000;8957975;29779423;-20821448;1524;"C01";4808
2183;2017-09-12 00:00:00,000;2017-10-31 00:00:00,000;11822156;35676075;-23853919;1538;"C01";4842
2189;2017-09-18 00:00:00,000;2017-10-25 00:00:00,000;24984511;27800003;-2815492;1552;"C01";4861
2215;2017-10-12 00:00:00,000;2017-11-16 00:00:00,000;4791775;31666202;-26874427;1521;"C01";4831
2229;2017-10-22 00:00:00,000;2017-10-26 00:00:00,000;82178274;35422391;46755883;1545;"C01";4921
2233;2017-10-26 00:00:00,000;2017-11-06 00:00:00,000;86946974;28764214;58182760;1553;"C01";4814
2251;2017-11-08 00:00:00,000;2017-12-14 00:00:00,000;8585503;29839505;-21254002;1522;"C01";4919
2259;2017-11-22 00:00:00,000;2017-11-30 00:00:00,000;82967984;32378412;50589572;1531;"C01";4944
2274;2017-12-12 00:00:00,000;2018-01-26 00:00:00,000;92440420;30253926;62186494;1547;"C01";4840
2275;2017-12-12 00:00:00,000;2017-12-28 00:00:00,000;43357569;28454772;14902797;1546;"C01";4852
2280;2017-12-17 00:00:00,000;2018-01-23 00:00:00,000;74228741;30826161;43402580;1555;"C01";4923
2295;2017-12-19 00:00:00,000;2018-03-25 00:00:00,000;93155512;21460998;71694514;1548;"C01";4893
2297;2017-12-21 00:00:00,000;2018-02-27 00:00:00,000;67660533;29637583;38022951;1555;"C01";4923
2316;2017-12-27 00:00:00,000;2018-02-27 00:00:00,000;84108907;24362367;59746540;1555;"C01";4923
2319;2017-12-27 00:00:00,000;2018-01-15 00:00:00,000;98090025;19878434;78211591;1548;"C01";4893
2324;2017-12-29 00:00:00,000;2018-03-25 00:00:00,000;94324637;31654264;62670373;1548;"C01";4893
2339;2017-12-30 00:00:00,000;2018-03-25 00:00:00,000;76707139;26736214;49970925;1548;"C01";4893
2350;2019-01-08 00:00:00,000;2019-03-28 00:00:00,000;229754797;121770042;107984754;1529;"C01";4802
2351;2019-01-09 00:00:00,000;2019-03-11 00:00:00,000;706325055;339036026;367289029;1530;"C01";4911
2425;2019-03-25 00:00:00,000;2019-06-17 00:00:00,000;120210833;72126500;48084333;1534;"C01";4840
2426;2019-03-27 00:00:00,000;2019-06-05 00:00:00,000;245620888;93335937;152284950;1535;"C01";4875
2436;2019-04-03 00:00:00,000;2019-05-28 00:00:00,000;514777574;293423217;221354357;1545;"C01";4835
2437;2019-04-03 00:00:00,000;2019-06-13 00:00:00,000;591595914;325377753;266218161;1546;"C01";4805
2438;2019-04-05 00:00:00,000;2019-06-02 00:00:00,000;144391539;89522754;54868785;1547;"C01";4846
2440;2019-04-07 00:00:00,000;2019-05-04 00:00:00,000;426660654;260262999;166397655;1549;"C01";4902
2443;2019-04-12 00:00:00,000;2019-07-02 00:00:00,000;487991585;273275288;214716298;1552;"C01";4839
2444;2019-04-13 00:00:00,000;2019-05-08 00:00:00,000;167963576;68865066;99098510;1553;"C01";4905
2481;2019-05-19 00:00:00,000;2019-06-23 00:00:00,000;698449388;453992102;244457286;1555;"C01";4801
2502;2019-06-12 00:00:00,000;2019-08-07 00:00:00,000;639604996;307010398;332594598;1541;"C01";4918
2524;2019-07-05 00:00:00,000;2019-08-17 00:00:00,000;664540530;239234591;425305939;1528;"C01";4907
2533;2019-07-17 00:00:00,000;2019-10-03 00:00:00,000;607222152;394694399;212527753;1537;"C01";4880
2541;2019-07-27 00:00:00,000;2019-09-26 00:00:00,000;174290029;88887915;85402114;1545;"C01";4811
2542;2019-07-30 00:00:00,000;2019-10-06 00:00:00,000;740144859;281255047;458889813;1546;"C01";4817
2558;2019-08-21 00:00:00,000;2019-10-09 00:00:00,000;742180724;319137711;423043013;1527;"C01";4831
2561;2019-08-22 00:00:00,000;2019-09-27 00:00:00,000;453092525;190298861;262793665;1530;"C01";4862
2568;2019-08-29 00:00:00,000;2019-10-20 00:00:00,000;590643376;236257351;354386026;1537;"C01";4826
2570;2019-09-01 00:00:00,000;2019-11-26 00:00:00,000;114907463;73540776;41366687;1539;"C01";4914
2572;2019-09-02 00:00:00,000;2019-10-31 00:00:00,000;422247225;202678668;219568557;1541;"C01";4896
2590;2019-09-18 00:00:00,000;2019-11-18 00:00:00,000;570806479;342483887;228322591;1524;"C01";4907
2595;2019-09-28 00:00:00,000;2019-11-10 00:00:00,000;40839657;19194639;21645018;1529;"C01";4879
2604;2019-10-03 00:00:00,000;2019-12-06 00:00:00,000;259202336;163297472;95904864;1538;"C01";4933
2609;2019-10-08 00:00:00,000;2019-12-01 00:00:00,000;264148240;118866708;145281532;1543;"C01";4855
2613;2019-10-09 00:00:00,000;2019-12-22 00:00:00,000;126657362;53196092;73461270;1547;"C01";4814
2614;2019-10-11 00:00:00,000;2019-11-21 00:00:00,000;429301525;158841564;270459961;1548;"C01";4909
2637;2019-11-06 00:00:00,000;2020-02-04 00:00:00,000;123180559;68981113;54199446;1536;"C01";4876
2675;2019-12-26 00:00:00,000;2020-01-22 00:00:00,000;420806283;159906388;260899896;1539;"C01";4843
2687;2020-01-06 00:00:00,000;2020-02-22 00:00:00,000;375171088;172578700;202592388;1551;"C01";4934
2690;2020-01-11 00:00:00,000;2020-02-20 00:00:00,000;585829025;210898449;374930576;1554;"C01";4918
2691;2020-01-13 00:00:00,000;2020-03-20 00:00:00,000;530606581;307751817;222854764;1555;"C01";4841
2694;2020-01-15 00:00:00,000;2020-04-02 00:00:00,000;151275622;84714348;66561274;1523;"C01";4930
2696;2020-01-18 00:00:00,000;2020-03-14 00:00:00,000;683595680;382813581;300782099;1525;"C01";4904
2714;2020-02-03 00:00:00,000;2020-05-01 00:00:00,000;598197251;233296928;364900323;1543;"C01";4941
2734;2020-02-21 00:00:00,000;2020-05-21 00:00:00,000;266912763;125448998;141463764;1528;"C01";4808
2741;2020-02-29 00:00:00,000;2020-04-08 00:00:00,000;508437463;213543734;294893728;1535;"C01";4908
2743;2020-03-01 00:00:00,000;2020-05-29 00:00:00,000;455609236;296146003;159463233;1537;"C01";4874
2758;2020-03-20 00:00:00,000;2020-06-08 00:00:00,000;27206817;12243068;14963749;1552;"C01";4905
2759;2020-03-21 00:00:00,000;2020-04-20 00:00:00,000;192692528;125250143;67442385;1553;"C01";4879
2772;2020-04-16 00:00:00,000;2020-07-13 00:00:00,000;247551543;148530926;99020617;1531;"C01";4847
2789;2020-05-06 00:00:00,000;2020-07-26 00:00:00,000;448662463;188438234;260224228;1548;"C01";4928
2793;2020-05-13 00:00:00,000;2020-07-25 00:00:00,000;767245081;368277639;398967442;1552;"C01";4939
2820;2020-06-02 00:00:00,000;2020-07-02 00:00:00,000;279790264;123107716;156682548;1544;"C01";4936
2829;2020-06-11 00:00:00,000;2020-08-07 00:00:00,000;674914782;263216765;411698017;1553;"C01";4864
2830;2020-06-11 00:00:00,000;2020-08-03 00:00:00,000;184162282;84714650;99447632;1554;"C01";4813
2831;2020-06-11 00:00:00,000;2020-09-02 00:00:00,000;536844362;284527512;252316850;1555;"C01";4924
2881;2020-08-03 00:00:00,000;2020-10-03 00:00:00,000;187674929;90083966;97590963;1535;"C01";4884
2911;2020-08-31 00:00:00,000;2020-10-03 00:00:00,000;416725344;191693658;225031686;1530;"C01";4867
2912;2020-09-02 00:00:00,000;2020-11-11 00:00:00,000;743385826;341957480;401428346;1531;"C01";4865
2925;2020-09-16 00:00:00,000;2020-11-06 00:00:00,000;145125128;58050051;87075077;1544;"C01";4848
2926;2020-09-19 00:00:00,000;2020-12-02 00:00:00,000;534991170;304944967;230046203;1545;"C01";4914
2933;2020-09-26 00:00:00,000;2020-10-23 00:00:00,000;770530857;362149503;408381354;1552;"C01";4934
2939;2020-10-01 00:00:00,000;2020-11-13 00:00:00,000;660543694;290639225;369904468;1523;"C01";4912
2940;2020-10-02 00:00:00,000;2020-11-21 00:00:00,000;219932550;105567624;114364926;1524;"C01";4922
2962;2020-10-19 00:00:00,000;2020-12-13 00:00:00,000;623099963;342704980;280394984;1546;"C01";4826
2963;2020-10-20 00:00:00,000;2021-01-02 00:00:00,000;634405220;380643132;253762088;1547;"C01";4841
2980;2020-11-10 00:00:00,000;2020-12-15 00:00:00,000;574496824;338953126;235543698;1529;"C01";4872
2988;2020-11-21 00:00:00,000;2021-01-23 00:00:00,000;327859916;173765756;154094161;1537;"C01";4859
2990;2020-11-23 00:00:00,000;2021-02-05 00:00:00,000;562139436;342905056;219234380;1539;"C01";4856
2991;2020-11-23 00:00:00,000;2021-02-03 00:00:00,000;427260586;222175504;205085081;1540;"C01";4879
2993;2020-11-25 00:00:00,000;2021-02-06 00:00:00,000;606501504;278990692;327510812;1542;"C01";4835
3004;2020-12-09 00:00:00,000;2021-01-21 00:00:00,000;631653723;252661489;378992234;1553;"C01";4904
3009;2020-12-14 00:00:00,000;2021-02-28 00:00:00,000;632564528;309956619;322607909;1523;"C01";4944
3010;2020-12-15 00:00:00,000;2021-03-15 00:00:00,000;395288137;158115255;237172882;1524;"C01";4834
3013;2020-12-16 00:00:00,000;2021-01-25 00:00:00,000;91375585;52997839;38377746;1527;"C01";4912
3018;2020-12-22 00:00:00,000;2021-02-15 00:00:00,000;42071991;15566637;26505354;1532;"C01";4803
3021;2020-12-25 00:00:00,000;2021-03-25 00:00:00,000;443896602;239704165;204192437;1535;"C01";4936
3023;2020-12-27 00:00:00,000;2021-01-28 00:00:00,000;736370161;353457677;382912484;1537;"C01";4916
3035;2021-01-10 00:00:00,000;2021-04-07 00:00:00,000;656477689;229767191;426710498;1549;"C01";4836
3041;2021-01-18 00:00:00,000;2021-03-01 00:00:00,000;26500484;15370281;11130203;1555;"C01";4886
3061;2021-02-16 00:00:00,000;2021-04-13 00:00:00,000;498227446;184344155;313883291;1540;"C01";4823
3070;2021-02-25 00:00:00,000;2021-04-06 00:00:00,000;177641364;87044268;90597096;1549;"C01";4845
3090;2021-03-14 00:00:00,000;2021-04-25 00:00:00,000;116958482;45613808;71344674;1534;"C01";4803
3098;2021-03-24 00:00:00,000;2021-06-09 00:00:00,000;269894999;151141199;118753799;1542;"C01";4806
3102;2021-04-01 00:00:00,000;2021-06-21 00:00:00,000;433343709;281673411;151670298;1546;"C01";4868
3104;2021-04-02 00:00:00,000;2021-05-13 00:00:00,000;146552470;58620988;87931482;1548;"C01";4918
3129;2021-04-29 00:00:00,000;2021-06-30 00:00:00,000;243318945;116793093;126525851;1538;"C01";4858
3130;2021-04-30 00:00:00,000;2021-07-10 00:00:00,000;60020307;22807717;37212590;1539;"C01";4884
3146;2021-05-15 00:00:00,000;2021-07-30 00:00:00,000;750246489;262586271;487660218;1555;"C01";4881
3149;2021-05-19 00:00:00,000;2021-07-14 00:00:00,000;421334144;227520438;193813706;1523;"C01";4815
3172;2021-06-11 00:00:00,000;2021-08-10 00:00:00,000;536859845;204006741;332853104;1546;"C01";4868
3199;2021-07-16 00:00:00,000;2021-09-21 00:00:00,000;376626081;135585389;241040692;1538;"C01";4920
3228;2021-08-27 00:00:00,000;2021-11-01 00:00:00,000;122285387;69702670;52582716;1532;"C01";4866
3229;2021-08-28 00:00:00,000;2021-11-08 00:00:00,000;501903275;220837441;281065834;1533;"C01";4936
3230;2021-08-28 00:00:00,000;2021-09-25 00:00:00,000;479805475;187124135;292681340;1534;"C01";4847
3247;2021-09-12 00:00:00,000;2021-10-10 00:00:00,000;74002316;31080973;42921343;1551;"C01";4888
3252;2021-09-26 00:00:00,000;2021-10-27 00:00:00,000;318476526;181531620;136944906;1521;"C01";4825
3254;2021-09-28 00:00:00,000;2021-11-04 00:00:00,000;485405169;203870171;281534998;1523;"C01";4905
3329;2021-12-16 00:00:00,000;2022-01-25 00:00:00,000;34062997;16690868;17372128;1528;"C01";4881
3330;2021-12-17 00:00:00,000;2022-01-21 00:00:00,000;100064212;37023759;63040454;1529;"C01";4820
1258;2015-01-12 00:00:00,000;2015-01-18 00:00:00,000;38824757;31654264;7170493;1548;"C03";4825
1259;2015-01-12 00:00:00,000;2015-01-28 00:00:00,000;78709676;32378412;46331264;1531;"C03";4893
1269;2015-01-22 00:00:00,000;2015-03-04 00:00:00,000;63294382;33341159;29953223;1535;"C03";4850
1279;2015-02-04 00:00:00,000;2015-04-30 00:00:00,000;39768304;28454772;11313532;1546;"C03";4878
1304;2015-02-25 00:00:00,000;2015-05-16 00:00:00,000;53498879;27563117;25935762;1544;"C03";4833
1326;2015-03-18 00:00:00,000;2015-04-10 00:00:00,000;42898052;32378412;10519640;1531;"C03";4805
1346;2015-04-18 00:00:00,000;2015-06-28 00:00:00,000;82736672;27563117;55173555;1544;"C03";4804
1351;2015-04-19 00:00:00,000;2015-06-09 00:00:00,000;72885701;29410295;43475406;1537;"C03";4831
1355;2015-04-26 00:00:00,000;2015-06-14 00:00:00,000;29991403;33341159;-3349756;1535;"C03";4829
1378;2015-05-19 00:00:00,000;2015-05-30 00:00:00,000;62215579;35676075;26539504;1538;"C03";4873
1380;2015-05-21 00:00:00,000;2015-08-10 00:00:00,000;17744412;30339947;-12595535;1527;"C03";4819
1383;2015-05-23 00:00:00,000;2015-08-26 00:00:00,000;36003837;39372824;-3368987;1543;"C03";4801
1390;2015-05-26 00:00:00,000;2015-07-14 00:00:00,000;75004622;39372824;35631798;1543;"C03";4831
1401;2015-06-05 00:00:00,000;2015-07-19 00:00:00,000;70213197;29779423;40433774;1524;"C03";4844
1406;2015-06-10 00:00:00,000;2015-07-17 00:00:00,000;91901167;28764214;63136953;1553;"C03";4923
1427;2015-06-26 00:00:00,000;2015-08-14 00:00:00,000;35814354;30826161;4988193;1555;"C03";4849
1444;2015-07-18 00:00:00,000;2015-08-21 00:00:00,000;29261554;31243926;-1982372;1549;"C03";4844
1452;2015-07-27 00:00:00,000;2015-10-08 00:00:00,000;94044842;27800003;66244839;1552;"C03";4891
1456;2015-08-01 00:00:00,000;2015-08-15 00:00:00,000;82106765;32378412;49728353;1531;"C03";4833
1458;2015-08-02 00:00:00,000;2015-08-16 00:00:00,000;99995754;30339947;69655807;1527;"C03";4852
1460;2015-08-04 00:00:00,000;2015-10-11 00:00:00,000;14403202;29839505;-15436303;1522;"C03";4835
1462;2015-08-05 00:00:00,000;2015-09-14 00:00:00,000;35836438;29184176;6652262;1529;"C03";4823
1465;2015-08-12 00:00:00,000;2015-11-11 00:00:00,000;86005718;28764214;57241504;1553;"C03";4821
1471;2015-08-18 00:00:00,000;2015-11-04 00:00:00,000;34883904;31654264;3229640;1548;"C03";4864
1476;2015-08-23 00:00:00,000;2015-10-23 00:00:00,000;75798560;35422391;40376169;1545;"C03";4809
1493;2015-09-14 00:00:00,000;2015-11-30 00:00:00,000;24686367;31666202;-6979835;1521;"C03";4916
1498;2015-09-17 00:00:00,000;2015-10-11 00:00:00,000;51875404;31666202;20209202;1521;"C03";4844
1503;2015-09-23 00:00:00,000;2015-10-06 00:00:00,000;59265900;34347677;24918223;1532;"C03";4836
1512;2015-10-08 00:00:00,000;2015-11-02 00:00:00,000;77851673;35676075;42175598;1538;"C03";4827
1528;2015-10-28 00:00:00,000;2015-12-08 00:00:00,000;99294001;35422391;63871610;1545;"C03";4910
1541;2015-11-06 00:00:00,000;2015-11-09 00:00:00,000;69153109;27563117;41589992;1544;"C03";4891
